Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
"BaseResistor1,BaseResistor2",2,1kR,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,~
BaseResistor3,1,1kR,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,~
BaseResistor4,1,1kR,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,~
"BaseResistor5,BaseResistor6,BaseResistor7,BaseResistor8",4,1kR,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical,~
Cin1,1,100n,,,,Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,~
"Cin2,Cin4",2,1u,,,,Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,~
Cin3,1,100n,,,,Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal,~
"Cout1,Cout3",2,100n,,,,Capacitor_THT:CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal,~
"Cout2,Cout4",2,10u,,,,Capacitor_THT:CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal,~
"D1,D2",2,PWR_LED,,,,LED_THT:LED_D3.0mm,~
"J1,J3",2,Barrel_Jack,,,,Connector_BarrelJack:BarrelJack_CLIFF_FC681465S_SMT_Horizontal,~
J2,1,Conn_01x05_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical_SMD_Pin1Left,~
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8",8,Q_PNP_EBC,,,,Package_TO_SOT_THT:TO-92,~
R1,1,240R,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,~
R2,1,390R,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,~
"R3,R12,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33",13,330R,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,~
"R4,R5,R7,R8,R9,R10,R13,R14,R15,R16,R20,R21,R22",13,330R,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical,~
"R6,R11",2,330R,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,~
"R17,R19",2,R,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical,~
R18,1,R,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,~
R34,1,240R,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,~
R35,1,390R,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,~
"SW1,SW2,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11",10,SW_Push,,,,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
"SW3,SW12",2,SW_SPST,,,,Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB,~
"U1,U6",2,LM7805_TO220,,,,Package_TO_SOT_THT:TO-220-3_Vertical,https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF
"U2,U7",2,LM317_TO-220,,,,Package_TO_SOT_THT:TO-220-3_Vertical,http://www.ti.com/lit/ds/symlink/lm317.pdf
"U3,U5",2,CA56-12EWA,,,,Display_7Segment:CA56-12EWA,http://www.kingbrightusa.com/images/catalog/SPEC/CA56-12EWA.pdf
U4,1,XC7A100T-CSG324,,,,Package_BGA:BGA-324_15x15mm_Layout18x18_P0.8mm,
